school_id,short_name,long_name,primary_category,is_high_school,is_middle_school,is_elementary_school,is_pre_school,grades_offered_all,grades_offered,student_count_total,student_count_low_income,student_count_special_ed,student_count_english_learners,student_count_black,student_count_hispanic,student_count_white,student_count_asian,student_count_native_american,student_count_other_ethnicity,student_count_asian_pacific_islander,student_count_multi,student_count_hawaiian_pacific_islander,student_count_ethnicity_not_available,title_1_eligible,preschool_inclusive,preschool_instructional,significantly_modified,hard_of_hearing,visual_impairments,transportation_bus,transportation_el,transportation_metra,average_act_school,mean_act,college_enrollment_rate_school,college_enrollment_rate_mean,graduation_rate_school,graduation_rate_mean,overall_rating,rating_status,school_year,network,is_gocps_participant,is_gocps_prek,is_gocps_elementary,is_gocps_high_school,open_for_enrollment_date,closed_for_enrollment_date,school_latitude,school_longitude,zip,multisensory,transition,year_start,pct_low_income,pct_special_ed,pct_english_learners,pct_black,pct_hispanic,pct_white,pct_asian,high_risk
400101,ACERO - CISNEROS,Acero Charter Schools - Sandra Cisneros,ES,N,Y,Y,N,"K,1,2,3,4,5,6,7,8",K-8,520,474,48,261,3,500,4,1,2,0,0.0,0,0.0,10.0,Y,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,59.75,67.2,81.1,78.9,Level 1,NOT APPLICABLE,2017-18,Charter,N,N,N,N,2010-07-01T00:00:00.000,Unknown,41.822884,-87.693996,60626.0,Unknown,Unknown,2017.0,91.15384615384615,9.230769230769232,50.19230769230769,0.576923076923077,96.15384615384616,0.7692307692307693,0.19230769230769232,1
400136,YCCS - OLIVE HARVEY,YCCS-Olive Harvey Middle College HS,HS,Y,N,N,N,"9,10,11,12",9-12,85,41,12,2,72,11,0,0,0,0,0.0,0,0.0,2.0,Y,Unknown,Unknown,Unknown,Unknown,Unknown,"28, 6",Red,Unknown,,,30.0,59.8,81.1,78.9,Level 2,NOT APPLICABLE,2017-18,Options,N,N,N,N,2012-07-01T00:00:00.000,Unknown,41.712922,-87.592333,60626.0,Unknown,Unknown,2017.0,48.23529411764706,14.117647058823529,2.3529411764705883,84.70588235294117,12.941176470588237,0.0,0.0,1
610046,LYON,Mary Lyon Elementary School,ES,N,Y,Y,N,"K,1,2,3,4,5,6,7,8",K-8,1349,1140,157,524,20,1218,80,14,7,0,0.0,1,9.0,0.0,Y,Unknown,Unknown,Unknown,Unknown,Unknown,"76, 91",Unknown,Unknown,,,59.75,67.2,81.1,78.9,Level 1+,GOOD STANDING,2017-18,Network 3,Y,N,Y,N,2004-09-01T00:00:00.000,Unknown,41.934192,-87.777174,60626.0,Unknown,Unknown,2017.0,84.50704225352112,11.638250555967383,38.84358784284655,1.4825796886582654,90.28910303928836,5.930318754633062,1.0378057820607858,1
609739,WASHINGTON HS,George Washington High School,HS,Y,N,N,N,"9,10,11,12",9-12,1440,1010,220,208,71,1273,69,3,15,0,0.0,9,0.0,0.0,Y,Unknown,Unknown,Y,Unknown,Unknown,30,Unknown,Unknown,,,56.7,59.8,81.4,77.5,Level 1,GOOD STANDING,2017-18,Network 17,Y,N,N,Y,2004-09-01T00:00:00.000,Unknown,41.688137,-87.53757,60626.0,Unknown,Unknown,2017.0,70.13888888888889,15.277777777777779,14.444444444444443,4.930555555555555,88.40277777777777,4.791666666666667,0.20833333333333334,1
610178,SCHMID,Theophilus Schmid Elementary School,ES,N,Y,Y,Y,"PK,K,1,2,3,4,5,6,7,8","PK,K-8",207,116,28,0,205,1,0,0,0,0,0.0,1,0.0,0.0,Y,Y,Unknown,Unknown,Unknown,Unknown,"5, 95E, 100",Red,Metra Electric District (ME),,,59.75,67.2,81.1,78.9,Level 2+,GOOD STANDING,2017-18,Network 12,Y,N,Y,N,2004-09-01T00:00:00.000,Unknown,41.716989,-87.596932,60626.0,Unknown,Unknown,2017.0,56.038647342995176,13.526570048309178,0.0,99.03381642512076,0.4830917874396135,0.0,0.0,1
610518,AUSTIN CCA HS,Austin College and Career Academy High School,HS,Y,N,N,N,"9,10,11,12",9-12,214,160,67,1,208,3,1,0,1,0,0.0,1,0.0,0.0,Y,Unknown,Unknown,Unknown,Unknown,Unknown,"20, 57, 85",Green,Unknown,,,43.5,59.8,77.3,77.5,Level 2,INTENSIVE SUPPORT,2017-18,Network 15,Y,N,N,Y,2008-07-01T00:00:00.000,Unknown,41.885993,-87.761916,60626.0,Unknown,Unknown,2017.0,74.76635514018692,31.308411214953267,0.46728971962616817,97.19626168224299,1.4018691588785046,0.46728971962616817,0.0,1
609819,BURKE,Edmond Burke Elementary School,ES,N,Y,Y,Y,"PK,K,1,2,3,4,5,6,7,8","PK,K-8",420,270,63,5,410,7,0,0,0,0,0.0,3,0.0,0.0,Y,Unknown,Unknown,Unknown,Unknown,Unknown,"3, 55",Green,Unknown,,,59.75,67.2,81.1,78.9,Level 2+,INTENSIVE SUPPORT,2017-18,Network 9,Y,N,Y,N,2004-09-01T00:00:00.000,Unknown,41.79676,-87.616141,60626.0,Unknown,Unknown,2017.0,64.28571428571429,15.0,1.1904761904761905,97.61904761904762,1.6666666666666667,0.0,0.0,1
400053,NOBLE - GOLDER HS,Noble - Golder College Prep,HS,Y,N,N,N,"9,10,11,12",9-12,667,595,115,78,105,531,15,2,2,0,0.0,4,0.0,8.0,Y,Unknown,Unknown,Unknown,Unknown,Unknown,"9, 65, 66",Blue,Unknown,,,81.1,59.8,86.2,77.5,Level 1+,NOT APPLICABLE,2017-18,Charter,Y,N,N,Y,2004-09-01T00:00:00.000,Unknown,41.895282,-87.664483,60626.0,Unknown,Unknown,2017.0,89.20539730134932,17.24137931034483,11.694152923538232,15.742128935532234,79.61019490254873,2.2488755622188905,0.29985007496251875,0
610034,LAWNDALE,Lawndale Elementary Community Academy,ES,N,Y,Y,Y,"PK,K,1,2,3,4,5,6,7,8","PK,K-8",228,227,30,0,225,3,0,0,0,0,0.0,0,0.0,0.0,Y,Unknown,Unknown,Unknown,Unknown,Unknown,"12, 82","Blue, Green",Unknown,,,59.75,67.2,81.1,78.9,Level 2,INTENSIVE SUPPORT,2017-18,Network 5,Y,N,Y,N,2004-09-01T00:00:00.000,Unknown,41.86296,-87.712957,60626.0,Unknown,Unknown,2017.0,99.56140350877193,13.157894736842104,0.0,98.68421052631578,1.3157894736842104,0.0,0.0,1
609772,ADDAMS,Jane Addams Elementary School,ES,N,Y,Y,Y,"PK,K,1,2,3,4,5,6,7,8","PK,K-8",686,556,64,236,19,651,14,0,0,0,0.0,1,1.0,0.0,Y,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,59.75,67.2,81.1,78.9,Level 1+,GOOD STANDING,2017-18,ISP,Y,N,Y,N,2004-09-01T00:00:00.000,Unknown,41.698739,-87.532976,60626.0,Unknown,Unknown,2017.0,81.04956268221575,9.329446064139942,34.40233236151604,2.7696793002915454,94.89795918367348,2.0408163265306123,0.0,1
